,Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,Return_Score,log_vol,Liquidity_Score,Composite_Score,MarketCap_B,Daily_Vol_M,ForwardPE,ProfitMargin,ROE,DebtToEquity
63,CTMX,1.13,4.25,Established,Pre-2025,"CytomX Therapeutics, Inc.",3.76,11945464.5551,Healthcare,0.146,16.2959,0.3208,0.1984,0.75,7.44,-12.143961,0.24656999,66.8,5.211
64,VTYX,2.49,8.4,Established,Pre-2025,"Ventyx Biosciences, Inc.",3.37,29729570.0953,Healthcare,0.1011,17.2077,0.4205,0.1969,0.99,108.46,-8.483784,0.0,-45.4,5.238
65,ANRO,4.61,16.59,Established,Pre-2025,"Alto Neuroscience, Inc.",3.6,15884659.3266,Healthcare,0.1276,16.5809,0.352,0.1949,0.52,4.11,-7.9258213,0.0,-45.0,22.767
66,SSRM,7.12,21.52,Established,Pre-2025,SSR MINING INC.,3.02,62678794.6411,Basic Materials,0.0609,17.9535,0.502,0.1932,4.57,49.3,6.3991556,0.15362,4.7,8.869
67,SYM,25.64,64.87,Established,Pre-2025,Symbotic Inc.,2.53,186885953.1635,Industrials,0.0046,19.046,0.6213,0.1896,42.75,114.83,93.48837,-0.00754,-20.8,6.556
68,INDV,12.49,35.73,Established,Pre-2025,INDIVIOR PLC,2.86,77462260.9744,Healthcare,0.0425,18.1653,0.5251,0.1873,4.28,55.65,11.596695,0.10508,,
69,ZBIO,9.83,34.5,Established,Pre-2025,"Zenas BioPharma, Inc.",3.51,14025561.1886,Healthcare,0.1172,16.4564,0.3384,0.1836,0.88,25.35,-4.1548223,0.0,-68.3,0.406
70,NUVB,2.89,8.58,Established,Pre-2025,Nuvation Bio Inc.,2.97,51269932.7176,Healthcare,0.0552,17.7526,0.48,0.1826,2.83,38.53,-23.785513,0.0,-52.5,17.659
71,AMPX,3.28,8.74,Established,Pre-2025,"Amprius Technologies, Inc.",2.66,91037003.2124,Industrials,0.0195,18.3268,0.5427,0.1765,1.22,49.96,-72.11539,-0.53161997,-39.0,36.537
72,ACMR,15.5,44.88,Established,Pre-2025,"ACM Research, Inc.",2.9,46995896.7835,Technology,0.0471,17.6656,0.4705,0.1741,3.34,66.02,24.721153,0.13303,9.9,15.757
73,MLYS,12.75,35.71,Established,Pre-2025,"Mineralys Therapeutics, Inc.",2.8,59536898.0455,Healthcare,0.0356,17.9021,0.4963,0.1738,2.62,37.35,-14.345355,0.0,-42.1,
74,TE,2.89,7.84,Established,Pre-2025,T1 Energy Inc.,2.71,68731011.0138,Industrials,0.0253,18.0457,0.512,0.1713,1.42,109.54,-26.82,-1.36572,-55.4,450.883
