Symbol,Start_Price,End_Price,Type,IPO_Date,Company Name,Return,Avg_Daily_Dollar_Vol,Sector,MarketCap_B,ForwardPE,ProfitMargin,Return_Score,log_vol,Liquidity_Score,Composite_Score
BETR,9.8500,34.7400,Established,Pre-2025,Better Home & Finance Holding Co,3.5300,39082449.0950,Financial Services,0.6279,-15.7480,-1.2723,0.1195,17.4812,0.4503,0.2188
TDUP,1.5600,6.0700,Established,Pre-2025,ThredUp Inc.,3.8900,14422567.2732,Consumer Cyclical,0.7546,-57.9808,-0.1218,0.1609,16.4843,0.3414,0.2151
ATRO,15.9600,56.6100,Established,Pre-2025,ASTRONICS CORP,3.5500,31849068.1669,Industrials,2.3562,27.0194,-0.0037,0.1218,17.2765,0.4280,0.2137
BLBX,2.2000,9.6600,Established,Pre-2025,BLACKBOXSTOCKS INC.,4.3900,3230668.4615,Technology,0.0435,-23.4884,-1.5779,0.2184,14.9882,0.1779,0.2063
LASR,10.7500,38.3700,Established,Pre-2025,"NLIGHT, INC.",3.5700,23351743.6657,Technology,2.0891,164.5404,-0.1913,0.1241,16.9662,0.3941,0.2051
TTMI,24.9400,70.6100,Established,Pre-2025,TTM TECHNOLOGIES INC,2.8300,142868226.0465,Technology,7.4718,25.2832,0.0474,0.0391,18.7774,0.5920,0.2050
BBIO,28.1200,78.2400,Established,Pre-2025,"BridgeBio Pharma, Inc.",2.7800,143664098.6617,Healthcare,14.6382,-41.0040,-2.2532,0.0333,18.7830,0.5926,0.2011
BW,1.7800,6.3500,Established,Pre-2025,"Babcock & Wilcox Enterprises, Inc.",3.5700,20061343.3047,Industrials,0.8710,-261.3333,-0.1505,0.1241,16.8143,0.3775,0.2001
PGEN,1.2000,4.2800,Established,Pre-2025,"PRECIGEN, INC.",3.5700,19079358.4341,Healthcare,1.6453,-21.1364,0.0000,0.1241,16.7641,0.3720,0.1985
CTMX,1.1300,4.2500,Established,Pre-2025,"CytomX Therapeutics, Inc.",3.7600,11945464.5551,Healthcare,0.7455,-12.1440,0.2466,0.1460,16.2959,0.3208,0.1984
