#{"t_start": 1763888638.320008, "env_id": "None"}
r,l,t
38.84787,79,117.888692
38.89322,79,117.920774
38.318638,79,117.95409
40.141254,79,118.799804
39.6537,79,118.831881
39.148052,79,118.86341
38.919743,79,119.670054
39.233574,79,119.701618
39.75801,79,119.73545
38.344738,79,120.556871
39.268936,79,120.591042
39.752525,79,120.622261
38.97495,79,121.417696
38.9734,79,121.450063
39.226242,79,121.481814
38.50227,79,122.35671
38.695007,79,122.387811
39.40193,79,122.419533
38.375015,79,122.451234
39.683395,79,123.316025
39.59536,79,123.34803
38.47139,79,123.379232
40.1718,79,124.194902
40.040478,79,124.226687
39.975418,79,124.260957
39.426876,79,125.056369
39.03948,79,125.09078
39.799587,79,125.121923
39.78899,79,125.917334
39.217644,79,125.949555
39.91832,79,125.981081
39.55104,79,126.01233
39.92572,79,126.881617
40.030064,79,126.913046
39.914425,79,126.944208
39.437035,79,127.747303
39.60825,79,127.779226
38.47683,79,127.81306
39.609406,79,128.67033
40.470726,79,128.70217
38.933487,79,128.755537
39.635082,79,129.549944
39.16295,79,129.583974
39.36596,79,129.616104
39.863228,79,129.64753
39.12798,79,130.570151
38.824505,79,130.602153
39.694557,79,130.635941
38.95532,79,131.414743
40.24339,79,131.446074
39.77916,79,131.479837
40.032143,79,132.31223
40.27095,79,132.344347
40.330116,79,132.375731
40.007893,79,133.202298
40.185207,79,133.234478
38.865448,79,133.268307
38.724422,79,133.299199
39.451443,79,134.162281
39.439754,79,134.196468
40.07614,79,134.2287
40.037476,79,135.059873
40.221073,79,135.091275
40.055523,79,135.122687
39.3054,79,135.948089
39.66694,79,135.981779
39.471542,79,136.035744
40.98584,79,136.874679
40.70123,79,136.905745
39.53706,79,136.939989
40.358818,79,136.971313
39.600044,79,137.823766
40.254955,79,137.857019
40.145245,79,137.889317
39.96638,79,138.681035
40.488483,79,138.749154
40.075413,79,138.780928
40.165493,79,139.597834
39.633945,79,139.629367
40.337654,79,139.663407
39.84263,79,140.455828
39.16975,79,140.490137
39.07996,79,140.52192
40.373627,79,140.552915
39.74808,79,141.420157
39.637314,79,141.453936
40.357838,79,141.485979
41.3833,79,142.284186
39.864613,79,142.315725
38.313786,79,142.346754
40.573746,79,143.141857
39.790165,79,143.23528
40.00742,79,143.274325
40.237324,79,144.083072
40.22187,79,144.115333
40.27204,79,144.146793
40.199554,79,144.180494
40.46608,79,144.971074
38.81113,79,145.002648
39.431217,79,145.036669
40.0363,79,145.938663
40.47585,79,145.973101
39.995564,79,146.004517
39.85974,79,146.854165
40.387753,79,146.885778
40.115044,79,146.91998
39.654266,79,147.716718
40.21032,79,147.751143
40.481415,79,147.782849
39.78896,79,148.588435
40.247868,79,148.620707
40.561485,79,148.652323
39.692726,79,148.686138
39.222363,79,149.514516
40.375687,79,149.546916
40.50888,79,149.578409
40.73808,79,150.445252
40.28308,79,150.482569
40.91965,79,150.514744
40.537228,79,151.357438
39.999043,79,151.389396
39.628075,79,151.423479
40.401844,79,152.243307
40.210022,79,152.275441
40.955475,79,152.306898
38.919838,79,152.339732
39.964252,79,153.191956
40.11701,79,153.223842
40.162228,79,153.255091
40.72621,79,154.091673
40.563244,79,154.125308
39.426735,79,154.157647
39.76895,79,154.941966
40.504425,79,154.976185
39.981705,79,155.007905
39.290703,79,155.866022
39.508175,79,155.897284
40.21394,79,155.928567
39.68539,79,155.962597
40.048927,79,156.856488
40.097527,79,156.888161
40.690758,79,156.941487
40.424698,79,157.771804
39.990623,79,157.803589
40.767475,79,157.836134
40.927517,79,158.721769
41.19101,79,158.753819
39.967113,79,158.787438
39.88651,79,159.58317
40.63446,79,159.617556
40.818123,79,159.648957
39.466064,79,159.679887
40.960537,79,160.560883
40.543804,79,160.593004
40.352634,79,160.624403
40.67132,79,161.420043
40.329014,79,161.452214
40.832745,79,161.483373
40.705536,79,162.329658
40.147232,79,162.361778
39.881134,79,162.393495
40.26277,79,163.242067
40.64819,79,163.27356
40.207348,79,163.307701
39.883484,79,163.338976
40.503345,79,164.286153
40.348934,79,164.317991
40.518208,79,164.374769
40.808903,79,165.184399
40.147472,79,165.216519
40.442245,79,165.247958
40.678524,79,166.063872
41.40141,79,166.095979
40.4345,79,166.129911
40.70239,79,166.95683
39.839363,79,166.988428
40.857117,79,167.019716
40.74473,79,167.051622
39.88385,79,167.894585
39.45686,79,167.964711
40.716335,79,167.995661
40.88697,79,168.800166
40.314426,79,168.836008
40.83025,79,168.868425
40.627674,79,169.695682
40.08713,79,169.727546
40.997658,79,169.759196
40.840714,79,170.568669
41.612717,79,170.601065
41.187347,79,170.635065
41.180023,79,171.425391
41.798985,79,171.459767
40.700794,79,171.510792
40.775337,79,171.544762
40.73454,79,172.444182
40.951576,79,172.475584
41.298325,79,172.50918
40.930374,79,173.297643
40.584286,79,173.32903
41.138435,79,173.362659
40.098763,79,174.201408
41.118874,79,174.233366
40.89934,79,174.264302
40.75842,79,175.064067
40.86752,79,175.096196
40.810074,79,175.129997
40.577892,79,175.161548
41.29553,79,176.064188
39.524544,79,176.095772
41.7941,79,176.126699
40.92169,79,176.913613
40.157944,79,176.944969
40.24415,79,176.976053
40.54377,79,177.769866
41.302097,79,177.801539
41.571564,79,177.832635
41.19733,79,178.664479
41.867054,79,178.718411
40.52918,79,178.753186
41.43525,79,178.785758
40.74899,79,179.697409
41.025547,79,179.731045
41.196068,79,179.763978
41.768253,79,180.561719
41.358482,79,180.593774
41.63644,79,180.625268
41.025993,79,181.464662
40.35643,79,181.495527
40.768173,79,181.529304
40.814663,79,182.303957
41.147667,79,182.33544
41.20861,79,182.369357
41.58581,79,182.400998
40.620216,79,183.247964
41.02536,79,183.278941
40.532383,79,183.312728
40.587517,79,184.102073
40.103523,79,184.136709
41.10917,79,184.168315
41.503647,79,184.986418
41.033737,79,185.018266
41.320255,79,185.049247
41.202538,79,185.861692
41.81571,79,185.918944
41.40425,79,185.951757
41.29791,79,185.984068
41.205288,79,186.863469
40.643078,79,186.894661
41.292828,79,186.926742
41.31848,79,187.747238
40.697624,79,187.778875
41.27557,79,187.81258
40.8946,79,188.658961
41.634445,79,188.689788
41.138203,79,188.721092
40.743565,79,189.549393
41.207233,79,189.583932
40.43561,79,189.615004
41.83355,79,189.646348
40.967247,79,190.498651
41.749546,79,190.53237
40.981567,79,190.564306
40.841194,79,191.374458
41.956833,79,191.406296
42.17756,79,191.437779
41.225723,79,192.305117
42.164337,79,192.340607
42.14285,79,192.371871
41.603683,79,193.212926
42.123257,79,193.246824
41.57935,79,193.278536
42.01064,79,194.130547
41.434803,79,194.162925
41.546387,79,194.196641
41.992027,79,194.22831
41.192986,79,195.084793
42.34844,79,195.116443
41.54234,79,195.150258
41.702293,79,195.979632
42.045433,79,196.011367
41.573753,79,196.04258
41.499546,79,196.843825
42.095222,79,196.875638
41.964176,79,196.907115
41.556206,79,197.698905
41.140137,79,197.730659
42.55342,79,197.764388
41.7308,79,197.796267
41.757126,79,198.681077
41.656254,79,198.714699
41.508396,79,198.746075
41.81994,79,199.574843
41.608543,79,199.60638
41.244,79,199.656973
42.175087,79,200.484664
41.696396,79,200.518824
41.81214,79,200.550298
41.471004,79,201.358845
41.382427,79,201.393073
41.353027,79,201.424612
40.580154,79,201.455285
41.661594,79,202.332099
42.41464,79,202.366016
42.365017,79,202.397901
41.943542,79,203.159347
41.75821,79,203.190429
41.283165,79,203.223914
41.498352,79,204.02052
41.87037,79,204.054664
41.610844,79,204.08612
41.652786,79,204.947164
41.983303,79,204.979288
42.37573,79,205.013066
41.409004,79,205.044683
41.899754,79,205.917188
42.221874,79,205.948658
42.08359,79,205.982803
41.703106,79,206.809338
41.852493,79,206.843236
40.934383,79,206.897512
41.317368,79,207.724683
41.344177,79,207.756544
41.793037,79,207.790487
41.36993,79,208.598186
41.06982,79,208.631852
40.940807,79,208.664006
41.59431,79,208.695379
41.391068,79,209.553102
41.491173,79,209.584874
41.930748,79,209.618813
42.25844,79,210.425315
42.399036,79,210.459143
42.113518,79,210.490431
42.016056,79,211.348666
41.916836,79,211.380531
42.16332,79,211.414527
41.18229,79,212.217799
41.670967,79,212.249604
41.120075,79,212.288676
41.99834,79,212.320376
41.632214,79,213.222378
41.587208,79,213.256553
41.89514,79,213.287905
42.218876,79,214.080959
41.639893,79,214.135238
42.003277,79,214.172445
41.603516,79,215.013708
41.190506,79,215.045618
41.8273,79,215.079622
41.66628,79,215.887526
41.176556,79,215.921765
42.048855,79,215.952899
42.152966,79,215.984063
41.566647,79,216.798564
41.59062,79,216.830073
41.958942,79,216.863891
40.90762,79,217.768593
42.153786,79,217.799627
41.748924,79,217.833655
41.562515,79,218.655061
41.769585,79,218.689247
41.943935,79,218.721144
41.285442,79,219.533475
41.707794,79,219.567613
42.082058,79,219.599387
42.44942,79,220.402779
42.024147,79,220.436994
41.32173,79,220.468261
42.183155,79,220.500284
42.390926,79,221.393073
42.354755,79,221.428796
42.49257,79,221.461504
41.613705,79,222.329337
42.5708,79,222.36377
41.705368,79,222.395525
42.558624,79,223.209428
41.417007,79,223.243475
42.373306,79,223.274827
42.30455,79,224.110468
42.38798,79,224.142577
41.729282,79,224.175727
42.42127,79,224.208117
42.6343,79,225.056418
42.25224,79,225.087807
42.47308,79,225.119896
42.585808,79,225.968132
41.903923,79,226.002098
42.537296,79,226.033183
42.253452,79,226.794481
42.621315,79,226.826159
41.978794,79,226.857222
41.519947,79,227.648932
42.28504,79,227.680773
41.942387,79,227.714101
42.982758,79,227.746405
42.18658,79,228.690012
42.744286,79,228.721745
42.46603,79,228.753254
42.125256,79,229.551369
41.377357,79,229.583081
42.711853,79,229.613946
41.67085,79,230.485845
42.366623,79,230.519932
42.27931,79,230.551119
42.909946,79,231.353263
42.640713,79,231.385443
41.96378,79,231.417025
42.60524,79,231.44824
42.4784,79,232.335777
42.814716,79,232.367549
41.802715,79,232.399092
42.339615,79,233.190466
42.49897,79,233.222307
42.46702,79,233.253274
42.70914,79,234.046863
42.76679,79,234.078696
42.698246,79,234.109953
42.551224,79,234.984619
42.199726,79,235.019573
42.705463,79,235.051187
42.388176,79,235.104965
41.857426,79,235.965297
42.278614,79,235.997318
42.052273,79,236.028652
42.166256,79,236.875786
42.39495,79,236.906752
41.973213,79,236.940314
42.15794,79,237.735668
42.27494,79,237.767629
42.205044,79,237.801727
42.34284,79,238.630365
42.561943,79,238.66427
42.98324,79,238.696388
42.54912,79,238.728126
42.793953,79,239.553547
42.299423,79,239.585053
42.54912,79,239.616249
42.518074,79,240.421532
42.565914,79,240.453005
42.891266,79,240.48725
42.73977,79,241.340104
42.176025,79,241.374744
41.910126,79,241.406147
42.558113,79,242.248768
42.390137,79,242.280042
42.786858,79,242.333339
42.497177,79,243.170472
42.495663,79,243.205359
42.554615,79,243.237055
42.606056,79,243.268446
42.529392,79,244.133637
41.858795,79,244.168235
42.787193,79,244.199655
42.5832,79,245.01508
42.420727,79,245.04654
42.52682,79,245.078219
41.979298,79,245.954148
41.614914,79,245.985671
42.288593,79,246.017257
42.029266,79,246.806347
42.754303,79,246.841081
42.119995,79,246.87253
42.481796,79,246.904229
42.74886,79,247.773683
42.769497,79,247.808324
42.86825,79,247.839492
42.639454,79,248.642819
42.445583,79,248.675465
42.710487,79,248.707287
41.901833,79,249.513566
42.57764,79,249.545065
42.374252,79,249.642185
42.368324,79,250.517711
42.19019,79,250.549496
42.218136,79,250.5808
42.332184,79,250.613338
42.47824,79,251.450078
42.61237,79,251.484313
42.78167,79,251.515251
42.720505,79,252.347294
42.510372,79,252.378848
42.422417,79,252.410084
42.749165,79,253.224451
42.841595,79,253.256877
42.96126,79,253.290535
