#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
5.6134562,18,17.181059
6.1615715,18,17.18739
6.367946,18,17.193501
5.1046953,18,17.199865
6.3332314,18,17.207853
5.743392,18,17.213966
5.774746,18,17.220453
4.873944,18,17.226769
5.8442574,18,17.666547
5.052679,18,17.675735
6.1038404,18,17.683428
5.6950116,18,17.690752
5.124532,18,17.749629
6.432364,18,17.756633
5.597531,18,17.76319
6.496391,18,17.769706
5.8497014,18,17.776187
5.896974,18,17.782484
5.3309793,18,17.788995
5.4201374,18,17.795174
5.4548993,18,17.801266
5.8159738,18,17.807894
5.403887,18,17.814202
6.1353717,18,18.218618
5.7133293,18,18.225298
6.1837597,18,18.231494
6.0873623,18,18.238033
6.324275,18,18.244394
5.9074636,18,18.252079
5.931259,18,18.25956
6.111946,18,18.265909
5.5109773,18,18.272306
5.8332667,18,18.278509
5.5980783,18,18.284637
5.6969995,18,18.290934
5.45791,18,18.29705
6.3788977,18,18.303363
5.818487,18,18.711053
5.3926744,18,18.717373
5.7669163,18,18.724187
6.524447,18,18.731036
5.2840266,18,18.737497
6.1993585,18,18.743617
5.468107,18,18.751892
5.1283016,18,18.758757
5.7547426,18,18.765657
6.182137,18,18.772956
5.7393975,18,18.781271
6.4524693,18,18.790152
6.3894606,18,18.796637
6.298933,18,18.803228
6.19471,18,19.371758
6.229119,18,19.378795
6.3083353,18,19.385846
5.8272467,18,19.392514
5.569551,18,19.399085
5.9479837,18,19.408788
6.1851997,18,19.415596
5.80869,18,19.422406
6.124267,18,19.429515
5.609233,18,19.438424
5.837198,18,19.445887
5.948466,18,19.453563
5.887771,18,19.459979
5.8681173,18,19.466464
5.7056284,18,19.896968
6.2442594,18,19.903634
6.4936004,18,19.910097
5.7770042,18,19.916312
6.2076373,18,19.922667
5.541824,18,19.929035
6.4229383,18,19.936074
6.2717166,18,19.94299
6.3122725,18,19.94929
6.170832,18,19.955805
6.0402193,18,19.9646
6.353108,18,19.971152
5.9098806,18,19.977712
6.287472,18,19.984083
5.2161627,18,19.990515
6.152232,18,20.394608
5.421303,18,20.400696
6.0271397,18,20.406858
6.0260496,18,20.412862
6.208887,18,20.419089
6.2250953,18,20.425182
6.241062,18,20.43113
6.203609,18,20.437399
5.556649,18,20.443763
6.1649113,18,20.449967
6.311981,18,20.456215
5.863083,18,20.462227
6.1518316,18,20.468219
6.2518497,18,20.47495
6.2874703,18,20.881387
6.0299397,18,20.888107
5.9167376,18,20.894724
6.27547,18,20.903991
5.35122,18,20.910487
6.560763,18,20.916963
6.511559,18,20.92696
6.636065,18,20.933479
6.031166,18,20.941029
5.745202,18,20.947651
6.6609797,18,20.955045
6.0449095,18,20.962229
6.289,18,20.969193
6.5660534,18,20.979507
6.295758,18,21.460937
6.428291,18,21.46759
6.137659,18,21.475119
5.774671,18,21.481612
6.4281263,18,21.488475
6.0928316,18,21.49491
6.248695,18,21.501208
6.512294,18,21.507791
5.7540183,18,21.514375
6.051198,18,21.520743
6.431543,18,21.526985
5.767457,18,21.532986
6.4675646,18,21.542175
6.2776723,18,21.548572
6.158533,18,21.955572
6.3027153,18,22.017503
6.253048,18,22.024213
6.515219,18,22.030663
5.7990646,18,22.037206
6.4460697,18,22.04351
6.529582,18,22.049643
6.424855,18,22.055944
6.276032,18,22.061997
6.7159357,18,22.07096
6.2503104,18,22.077566
6.65573,18,22.083898
5.7154055,18,22.090606
6.377225,18,22.096857
6.698137,18,22.609735
6.792957,18,22.616269
6.3966556,18,22.6228
5.7832594,18,22.62891
5.9699755,18,22.634898
6.356267,18,22.641036
6.4525537,18,22.647021
5.674483,18,22.653398
6.828205,18,22.659842
6.3524933,18,22.666109
6.3989058,18,22.672344
6.7031465,18,22.678328
6.097415,18,22.684291
6.735614,18,22.690446
6.694155,18,22.6964
6.607626,18,23.106893
6.707887,18,23.1134
5.9764385,18,23.121762
6.358421,18,23.129061
5.551393,18,23.135531
6.6435695,18,23.14203
6.219641,18,23.148371
6.3904257,18,23.154932
6.4381456,18,23.161254
6.326193,18,23.167502
6.0564055,18,23.174085
6.398357,18,23.180227
6.3910775,18,23.186677
5.9217176,18,23.193195
6.3813553,18,23.591115
6.532276,18,23.597393
5.378984,18,23.603489
6.156226,18,23.610101
6.1377745,18,23.616497
6.3460665,18,23.6233
6.3444448,18,23.629689
6.573238,18,23.635991
5.9492664,18,23.64249
6.255266,18,23.651119
6.298787,18,23.657777
6.5482836,18,23.663997
6.5165615,18,23.670463
6.4579525,18,23.676928
6.7755756,18,24.069492
6.521179,18,24.078838
6.4437566,18,24.085288
6.4674644,18,24.091815
6.4631786,18,24.098072
6.2138286,18,24.104398
6.6649895,18,24.111086
6.3631883,18,24.11737
6.175828,18,24.123802
6.1904325,18,24.129887
6.7897687,18,24.135985
6.4796286,18,24.142007
6.3660345,18,24.148211
6.3013716,18,24.154624
6.662335,18,24.550145
6.277782,18,24.556937
6.270631,18,24.563276
